episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,0,fresh,,,0,0,0,4,0,1,20.0,40.0,5.0,10.0,3,500,0.1951761245727539,0.19733274645358323,,crash_vehicle
1,fresh,0,fresh,,,0,0,0,18,1,1,5.0,40.0,5.0,55.0,2,1000,11.152142524719238,0.2543867528438568,,max_step
2,fresh,0,fresh,,,0,0,0,12,0,1,20.0,20.0,15.0,35.0,0,1000,11.867239952087402,0.25190494386572393,,max_step
3,fresh,0,fresh,,,0,0,0,0,0,0,15.0,20.0,10.0,10.0,0,655,2.1797127723693848,0.1998386601839243,,out_of_road
4,fresh,0,fresh,,,0,0,0,2,0,0,10.0,5.0,15.0,35.0,2,1000,14.990913391113281,0.27660763708502056,,max_step
5,fresh,0,fresh,,,0,1,0,12,1,0,10.0,5.0,10.0,35.0,1,801,4.060340881347656,0.1880316763021024,,out_of_road
6,fresh,0,fresh,,,0,0,0,3,0,0,20.0,40.0,15.0,35.0,0,774,5.700139999389648,0.22178571649949796,,out_of_road
7,fresh,0,fresh,,,0,0,0,2,1,0,20.0,40.0,15.0,55.0,2,231,-0.6392431259155273,0.2495456365505596,,crash_vehicle
8,fresh,0,fresh,,,0,0,0,2,1,1,5.0,5.0,15.0,35.0,1,1000,22.411211013793945,0.35375695434957743,,max_step
9,fresh,0,fresh,,,0,0,0,8,1,0,10.0,10.0,5.0,20.0,2,975,17.033061981201172,0.3543599982597889,,crash_vehicle
10,fresh,0,fresh,,,0,1,0,2,0,0,15.0,5.0,10.0,35.0,1,1000,32.34882736206055,0.474096761544235,,max_step
11,fresh,0,fresh,,,0,1,1,8,1,1,10.0,40.0,5.0,55.0,0,526,6.919264793395996,0.3084157817561477,,out_of_road
12,fresh,0,fresh,,,0,1,0,12,0,1,15.0,5.0,10.0,10.0,1,141,-0.4650263786315918,0.2472345185538767,,crash_vehicle
13,fresh,0,fresh,,,0,0,0,18,1,0,10.0,10.0,10.0,35.0,1,192,-0.8592076301574707,0.21026007869901756,,out_of_road
14,fresh,0,fresh,,,0,0,0,8,1,0,10.0,10.0,5.0,20.0,2,1000,28.5954647064209,0.41569634124450383,,max_step
15,fresh,0,fresh,,,0,1,0,0,0,0,10.0,40.0,15.0,20.0,0,585,13.907846450805664,0.44465962507658535,,out_of_road
