episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,0,fresh,,,0,1,1,3,0,0,15.0,40.0,15.0,20.0,1,334,12.36290168762207,0.8911510984898506,,crash_vehicle
1,fresh,0,fresh,,,0,0,0,0,0,0,5.0,10.0,15.0,10.0,0,340,-3.894132614135742,0.024994182457928272,,out_of_road
2,fresh,0,fresh,,,0,1,0,18,1,0,15.0,20.0,15.0,55.0,2,696,0.39809083938598633,0.2486119678634722,,crash_vehicle
3,fresh,0,fresh,,,0,0,0,4,1,0,20.0,10.0,10.0,20.0,1,1000,8.539407730102539,0.228637915820349,,max_step
4,fresh,0,fresh,,,0,0,0,1,1,1,5.0,5.0,10.0,35.0,0,213,-0.24220848083496094,0.20159193459775807,,crash_vehicle
5,fresh,0,fresh,,,0,0,0,5,0,1,20.0,40.0,15.0,10.0,3,1000,2.98233699798584,0.03877946910541505,,max_step
6,fresh,0,fresh,,,0,1,0,3,1,0,15.0,10.0,5.0,55.0,1,873,1.7115864753723145,0.07251174471000763,,out_of_road
7,fresh,0,fresh,,,0,0,0,2,0,0,10.0,20.0,15.0,55.0,0,1000,11.900311470031738,0.18015172343468294,,max_step
8,fresh,0,fresh,,,0,1,1,18,1,0,15.0,5.0,10.0,55.0,3,866,2.6903834342956543,0.14567906491987528,,out_of_road
9,fresh,0,fresh,,,0,1,0,2,1,1,10.0,10.0,15.0,20.0,2,696,4.027826309204102,0.16409877630421657,,out_of_road
10,fresh,0,fresh,,,0,1,1,0,1,0,15.0,10.0,5.0,10.0,0,819,6.194171905517578,0.14670308026165607,,out_of_road
11,fresh,0,fresh,,,0,1,0,4,1,1,15.0,40.0,5.0,55.0,2,1000,12.75190258026123,0.11464246663841186,,max_step
12,fresh,0,fresh,,,0,1,1,8,1,1,15.0,40.0,15.0,55.0,2,992,8.45745849609375,0.15617829407546518,,crash_vehicle
13,fresh,0,fresh,,,0,0,0,3,1,0,10.0,20.0,5.0,35.0,1,1000,13.583126068115234,0.15845404666487592,,max_step
14,fresh,0,fresh,,,0,1,1,18,0,0,5.0,20.0,15.0,20.0,0,1000,9.403435707092285,0.25027171069476756,,max_step
