episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,3,fresh,,,0,0,0,4,0,1,20.0,40.0,5.0,10.0,3,501,20.669742584228516,0.8298898681909025,,crash_vehicle
1,fresh,6,fresh,,,0,0,0,18,1,1,5.0,40.0,5.0,55.0,2,1000,9.381046295166016,0.20213912617042662,,max_step
2,fresh,5,fresh,,,0,0,0,12,0,1,20.0,20.0,15.0,35.0,0,1000,11.22048568725586,0.22813420763099565,,max_step
3,fresh,2,fresh,,,0,1,0,3,1,1,15.0,40.0,5.0,55.0,0,1000,13.169419288635254,0.3055704742609523,,max_step
4,fresh,2,fresh,,,0,0,0,3,0,1,15.0,20.0,10.0,55.0,3,1000,14.392914772033691,0.2570800973370206,,max_step
5,fresh,0,fresh,,,0,0,0,0,1,0,10.0,20.0,10.0,55.0,0,1000,16.337677001953125,0.14457305907830595,,max_step
6,fresh,0,fresh,,,0,0,0,1,1,0,10.0,10.0,5.0,20.0,1,696,3.2024927139282227,0.1406874875785601,,out_of_road
7,fresh,0,fresh,,,0,1,0,1,1,0,15.0,20.0,15.0,55.0,1,393,0.330869197845459,0.14146252682920707,,out_of_road
8,fresh,0,fresh,,,0,1,1,0,1,0,15.0,5.0,15.0,35.0,0,825,3.253384590148926,0.11298283260428545,,out_of_road
9,fresh,2,fresh,,,0,1,0,3,0,0,10.0,40.0,10.0,10.0,3,568,7.639073371887207,0.2997390508379551,,out_of_road
10,fresh,5,fresh,,,0,1,0,12,1,0,20.0,40.0,10.0,55.0,0,654,7.931931018829346,0.24599570077267227,,out_of_road
11,fresh,2,fresh,,,0,0,0,3,0,1,15.0,20.0,15.0,20.0,3,1000,6.583232879638672,0.11393801593431271,,max_step
12,fresh,4,fresh,,,0,1,1,8,0,1,20.0,40.0,10.0,10.0,1,415,1.500504970550537,0.11329992859657989,,out_of_road
13,fresh,0,fresh,,,0,0,0,1,1,0,10.0,40.0,10.0,55.0,1,362,6.000828742980957,0.2899210972567372,,out_of_road
14,fresh,5,fresh,,,0,0,0,12,0,0,10.0,5.0,5.0,20.0,0,656,6.212806701660156,0.19057767868461514,,out_of_road
15,fresh,3,fresh,,,0,0,0,5,0,1,5.0,5.0,10.0,20.0,1,1000,4.017373085021973,0.0840463020701427,,max_step
16,fresh,1,fresh,,,0,1,1,2,0,1,15.0,40.0,5.0,35.0,0,457,3.6833767890930176,0.1443437029739039,,out_of_road
17,fresh,6,fresh,,,0,1,0,18,0,1,10.0,10.0,5.0,55.0,0,1000,7.0523362159729,0.18792524883220904,,max_step
18,fresh,0,fresh,,,0,1,0,1,0,0,20.0,10.0,15.0,55.0,1,318,6.102455139160156,0.24595839589096183,,out_of_road
19,fresh,6,fresh,,,0,1,0,18,1,0,20.0,20.0,15.0,55.0,2,218,0.040201425552368164,0.13916015634398668,,crash_vehicle
20,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,419,2.8540828227996826,0.17520735859937592,rejection_fallback,out_of_road
21,fresh,1,fresh,,,0,0,0,2,1,1,20.0,10.0,15.0,20.0,1,449,0.16990423202514648,0.0969203259186085,,out_of_road
22,fresh,5,fresh,,,0,1,0,12,0,0,5.0,5.0,15.0,10.0,2,1000,8.09822940826416,0.11849236017093062,,max_step
